title,price,image_urls
Red Leather 2 in 1 Lady's Handbag,3500,"https://ke.jumia.is/vElrHfaJXtTRe2z8c3C0ePr7Mk4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/10/05175/1.jpg?6461"
Brown Leather 2 in 1 Lady's Handbag,3500,"https://ke.jumia.is/17C83I4ziKVIC46gQQYUDt7GtC8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/50/05175/1.jpg?6461"
Navy Blue Leather 2 in 1 Lady's Handbag,3500,"https://ke.jumia.is/rgpDMpDbA4XcfjeejILpRCLLnP4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/80/05175/1.jpg?6461"
Black Leather 2 in 1 Lady's Handbag,3500,"https://ke.jumia.is/IIJRWlER6Bid6XJgYPzMhhlrTsE=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/40/05175/1.jpg?6461"
Women Quartz Watch Simple Ultra-thin Dial Female Wristwatch,2800,"https://ke.jumia.is/B7-ZTG8XaUT45bTom3nioOFfnwY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/41/43455/1.jpg?3677"
Quartz Watch Simple Ultra-thin Dial Men's  Wristwatch,2800,"https://ke.jumia.is/6UPXEochdRPOFnMd3HsL-fGWpoE=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/63/43455/1.jpg?4041"
Grey Leather 2 in 1 Lady's Handbag,3500,"https://ke.jumia.is/N6tGygTnf4r4RySVGA-wGtKWhcQ=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/90/05175/1.jpg?6462"
Peach Leather 2 in 1 Lady's Handbag,3500,"https://ke.jumia.is/9rjsfpn5PQv3u-hQFLZs0N9uA3k=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/60/05175/1.jpg?6461"
Quartz Watch Simple Ultra-thin Dial Unisex Wristwatch,2800,"https://ke.jumia.is/vONc1EQ4h2c9FOcxakrntUiCBWU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/91/43455/1.jpg?3860"
Regular Analog Watch For Unisex,2900,"https://ke.jumia.is/osakmDd6pgaI7g1YCN_tY67NgcQ=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/88/24975/1.jpg?6637"
"Floral Faced, Blue Strapped Watch",999,"https://ke.jumia.is/C0j9Sx5lYHA-IbdnEMuisIvMr-Q=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/21/2914/1.jpg?8633"
Quartz Watch Simple Ultra-thin Dial Unisex Wristwatch,1430,"https://ke.jumia.is/JF1A_MK7eHGO0c8epa0V8JUXkpg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/32/43455/1.jpg?3860"
White Leather 2 in 1 Lady's Handbag,2800,"https://ke.jumia.is/GbPBiYPRf3S7puSrg6mduWN00vs=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/70/05175/1.jpg?6461"
Gold Waterproof Women Luxury Quartz Movement Bracelet Brand Wristwatch,3500,"https://ke.jumia.is/VX7kJlaXeX0SfcQQS7NvwQdNpVk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/68/30975/1.jpg?8011"
Purple Lady Casual Love Faux Leather Band Quartz Analog Wrist Watch,3000,"https://ke.jumia.is/RcAA2qyqWccMsVRcjferJKja23M=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/56/06455/1.jpg?4675"
Ladies Fashion Functional Chronograph Watch,3500,"https://ke.jumia.is/1NkNCMUAy7a8lvBgFaod3NXNCt0=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/91/12875/1.jpg?0545"
Black Waterproof Women Luxury Quartz Movement Bracelet Brand Wristwatch,1200,"https://ke.jumia.is/BjrXpjJxEwFbdrfkxK3cxiG59FI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/37/51775/1.jpg?2401"
Gold Ladies Quartz Simple Dial Design Casual Wristwatches,1500,"https://ke.jumia.is/zoHr5OJeecvymh_XPZHa6umfE9M=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/98/30975/1.jpg?8013"
Gold Ladies Quartz Simple Dial Design Casual Wristwatches,3500,"https://ke.jumia.is/0Z7bYw-vSVgatCBfCSLsUhALc9M=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/88/30975/1.jpg?8012"
Silver Ladies Quartz Simple Dial Design Casual Wristwatches,3800,"https://ke.jumia.is/PGgr1Wdd5YGu5_j_rp7hL7HLHOI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/49/30975/1.jpg?8012"
Black Lady Casual Love Faux Leather Band Quartz Analog Wrist Watch,3000,"https://ke.jumia.is/dDcH1J6CbMiJjo7LZ_xOQWw4Du8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/54/45455/1.jpg?1996"
Rose Gold CURREN Waterproof Women Luxury Quartz Movement Bracelet Brand Wristwatch,3500,"https://ke.jumia.is/gJjxwlei8nJiGSiSL1idANrQtnY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/97/28775/1.jpg?3784"
Rose Gold Ladies Quartz Simple Dial Design Casual Wristwatches,3000,"https://ke.jumia.is/nWwFzPNW6SEZkjtEOyt6Vg3CgZs=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/78/30975/1.jpg?8012"
Green Lady Casual Love Faux Leather Band Quartz Analog Wrist Watch,3500,"https://ke.jumia.is/TJ_UXKLT4qKNMN9HDcU04N21S6Q=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/46/06455/1.jpg?4675"
Red Lady Casual Love Faux Leather Band Quartz Analog Wrist Watch,3000,"https://ke.jumia.is/O5o-qsDsx207KydnrZQrooZi9Gg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/90/54455/1.jpg?0262"
Yellow Lady Casual Love Faux Leather Band Quartz Analog Wrist Watch,3500,"https://ke.jumia.is/o8vg49DfaZ0lvkZR9AYo1aMJSe4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/76/06455/1.jpg?4675"
Black Long Sleeved Loose Lapel Slim Fit Casual/Official Blazer - Coat - Jacket,1999,"https://ke.jumia.is/NS3_iyNeTGrXeUjlM2KS2mXbLzI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/74/02825/1.jpg?0164"
Women Loafer Shoes,2500,"https://ke.jumia.is/jY73skPE3WK1vQxwgnRUpFNbJSM=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/03/47845/1.jpg?8249"
Wine Red Over Knee Hooded Bodycon Dress.,1200,"https://ke.jumia.is/mnCgXrVKHL3ltXAdQU39CQR6C7o=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/04/8705/1.jpg?8969"
Black Over Knee Hooded Bodycon Dress,890,"https://ke.jumia.is/Io60y_wZCItMEIn3P94X-MqWVDM=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/50/36745/1.jpg?7867"
New Women Sexy Dress Sheer Mesh Night Dress Long Lingerie Nightwear Black,1500,"https://ke.jumia.is/ZLALfGd-kzA0gjttPfdbtgrufiU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/66/32375/1.jpg?6069"
Flower Printed Loafers Flat Shoes,890,"https://ke.jumia.is/0ZwOcVSMlzudsYHCWeyOjAK3tC0=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/72/47845/1.jpg?8248"
New Long-Sleeved Cardigan Thin Transparent Conditioning Rashguard 8 Colors,1500,"https://ke.jumia.is/I94lAkZ3gXxzIY6XAO9xcMk8TNk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/40/82625/1.jpg?2526"
PU Leather Flat shoes,796,"https://ke.jumia.is/MA9cONFHQFJDpddLkkzHzK9OFU4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/70/19355/1.jpg?2742"
Blue Fashion Summer Women Shirt Casual Slim Hollow Out Novelty Loose Shirt Short Sleeve Daily Work Office Travel Chiffon Shirt,1137,"https://ke.jumia.is/VfKS89ZRaQbsW6k5ZzwTKkH5F3E=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/22/92055/1.jpg?1404"
"Women High Heels for Office, Wedding Ladies shoes-BLACK",949,"https://ke.jumia.is/OJriHgnloiG-WTDd_gBTWKhhGOw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/22/76845/1.jpg?4329"
Soft I Run On Caffeine Chaos And Guss Word Women Sleeveless Tee Tops Vest Tank ^,1200,"https://ke.jumia.is/3mQkSKIjO7VRMkjepq1-YcR-tQk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/18/91275/1.jpg?0481"
Gold Velvet Textured Flowered Figure Fit Womens Dress,664,"https://ke.jumia.is/BWDr9EQVpz1s-3Lp57UlhXHJJdA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/10/88445/1.jpg?7290"
Women PU  Leather Flat Shoes -  Black,1892,"https://ke.jumia.is/YHO-YJsn_Q-UP0WPKiWNKmhgxSo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/68/90135/1.jpg?0650"
Black Ankle Sneakers,950,"https://ke.jumia.is/PbmGOQGjjB_oYvUK7urbJuyUmD4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/29/69165/1.jpg?1211"
Women sports Loafers Flat Shoes -  Red,1500,"https://ke.jumia.is/lAhepNRervCUOyM9ThZx-XfAnUA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/24/16455/1.jpg?4684"
Knitted Criss-cross Crop Top - PIG PINK,1799,"https://ke.jumia.is/Q06MCpSlqd4Cn6dB6etqPKX0sfs=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/83/48835/1.jpg?4342"
Women Lace Hollow Sheer Floral Long Cardigan Coat (Off White),2399,"https://ke.jumia.is/4OtD73jm8aEsRC4tQdWa8j2r06g=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/67/47825/1.jpg?9764"
Women's Ladies Sexy Lingerie Lace G-String Thong Underwear Nightwear Red,1900,"https://ke.jumia.is/PXFhdpZaF8LGa6YrhB-kIdxFB-g=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/86/58275/1.jpg?4608"
Fashionable Embroidery Canvas Shoes Female White Shoes Lace,4500,"https://ke.jumia.is/zukqJdi2CQzT0UnfzF3y77LSjWc=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/26/27574/1.jpg?3070"
